epoch_open,iso8601_open,low,open,close,high
1666828800,2022-10-27 00:00:00+00:00,20182.5,20756.0,20283.0,20861.5
1666915200,2022-10-28 00:00:00+00:00,19963.0,20283.0,20585.0,20738.0
1667001600,2022-10-29 00:00:00+00:00,20551.0,20585.0,20795.0,21100.0
1667088000,2022-10-30 00:00:00+00:00,20500.0,20795.0,20613.5,20920.0
1667174400,2022-10-31 00:00:00+00:00,20222.0,20613.5,20480.0,20832.0
1667260800,2022-11-01 00:00:00+00:00,20318.0,20480.0,20472.5,20689.0
1667347200,2022-11-02 00:00:00+00:00,20051.5,20472.5,20143.5,20789.0
1667433600,2022-11-03 00:00:00+00:00,20013.5,20143.5,20199.5,20382.0
1667520000,2022-11-04 00:00:00+00:00,20175.0,20199.5,21132.0,21293.5
1667606400,2022-11-05 00:00:00+00:00,21068.0,21132.0,21290.5,21470.0
1667692800,2022-11-06 00:00:00+00:00,20874.5,21290.5,20904.0,21345.0
1667779200,2022-11-07 00:00:00+00:00,20365.0,20904.0,20582.5,21062.5
1667865600,2022-11-08 00:00:00+00:00,16800.0,20582.5,18537.0,20672.0
1667952000,2022-11-09 00:00:00+00:00,15460.5,18537.0,15891.5,18578.0
1668038400,2022-11-10 00:00:00+00:00,15697.5,15891.5,17594.0,18191.0
1668124800,2022-11-11 00:00:00+00:00,16310.0,17594.0,17052.0,17673.5
1668211200,2022-11-12 00:00:00+00:00,16624.5,17052.0,16804.0,17103.5
1668297600,2022-11-13 00:00:00+00:00,16222.0,16804.0,16330.5,16943.5
1668384000,2022-11-14 00:00:00+00:00,15802.5,16330.5,16607.5,17213.0
1668470400,2022-11-15 00:00:00+00:00,16515.5,16607.5,16878.0,17160.0
1668556800,2022-11-16 00:00:00+00:00,16367.0,16878.0,16643.0,17011.0
1668643200,2022-11-17 00:00:00+00:00,16400.0,16643.0,16688.5,16739.5
1668729600,2022-11-18 00:00:00+00:00,16541.5,16688.5,16700.0,16997.0
1668816000,2022-11-19 00:00:00+00:00,16551.0,16700.0,16688.0,16799.0
1668902400,2022-11-20 00:00:00+00:00,16180.0,16688.0,16273.5,16739.5
1668988800,2022-11-21 00:00:00+00:00,15440.0,16273.5,15765.5,16789.0
1669075200,2022-11-22 00:00:00+00:00,15620.0,15765.5,16218.5,16300.0
1669161600,2022-11-23 00:00:00+00:00,16154.5,16218.5,16589.0,16710.5
1669248000,2022-11-24 00:00:00+00:00,16450.0,16589.0,16594.5,16810.0
1669334400,2022-11-25 00:00:00+00:00,16339.0,16594.5,16510.5,16646.0
1669420800,2022-11-26 00:00:00+00:00,16376.5,16510.5,16449.0,16685.0
1669507200,2022-11-27 00:00:00+00:00,16401.0,16449.0,16426.0,16588.5
1669593600,2022-11-28 00:00:00+00:00,15985.0,16426.0,16206.0,16477.0
1669680000,2022-11-29 00:00:00+00:00,16096.5,16206.0,16427.0,16547.0
1669766400,2022-11-30 00:00:00+00:00,16418.0,16427.0,17146.5,17270.0
1669852800,2022-12-01 00:00:00+00:00,16850.0,17146.5,16972.5,17390.0
1669939200,2022-12-02 00:00:00+00:00,16769.0,16972.5,17083.5,17100.0
1670025600,2022-12-03 00:00:00+00:00,16855.0,17083.5,16881.0,17150.0
1670112000,2022-12-04 00:00:00+00:00,16880.5,16881.0,17096.0,17195.0
1670198400,2022-12-05 00:00:00+00:00,16867.0,17096.0,16966.0,17425.5
1670284800,2022-12-06 00:00:00+00:00,16903.5,16966.0,17081.5,17116.5
1670371200,2022-12-07 00:00:00+00:00,16666.5,17081.5,16823.0,17135.0
1670457600,2022-12-08 00:00:00+00:00,16702.5,16823.0,17209.5,17286.0
1670544000,2022-12-09 00:00:00+00:00,17045.0,17209.5,17116.0,17348.0
1670630400,2022-12-10 00:00:00+00:00,17086.0,17116.0,17121.0,17219.5
1670716800,2022-12-11 00:00:00+00:00,17060.0,17121.0,17078.0,17261.5
1670803200,2022-12-12 00:00:00+00:00,16870.0,17078.0,17194.0,17234.5
1670889600,2022-12-13 00:00:00+00:00,17060.0,17194.0,17764.5,18000.0
1670976000,2022-12-14 00:00:00+00:00,17514.0,17764.5,17790.0,18379.0
1671062400,2022-12-15 00:00:00+00:00,17262.0,17790.0,17353.5,17830.5
1671148800,2022-12-16 00:00:00+00:00,16532.5,17353.5,16634.0,17530.0
1671235200,2022-12-17 00:00:00+00:00,16574.5,16634.0,16770.5,16792.5
1671321600,2022-12-18 00:00:00+00:00,16656.0,16770.5,16729.5,16900.0
1671408000,2022-12-19 00:00:00+00:00,16203.0,16729.5,16432.5,16805.0
1671494400,2022-12-20 00:00:00+00:00,16388.0,16432.5,16890.0,17054.0
1671580800,2022-12-21 00:00:00+00:00,16710.0,16890.0,16822.0,16918.5
1671667200,2022-12-22 00:00:00+00:00,16560.5,16822.0,16832.5,16890.0
1671753600,2022-12-23 00:00:00+00:00,16705.0,16832.5,16785.0,16990.0
1671840000,2022-12-24 00:00:00+00:00,16785.0,16785.0,16828.5,16859.0
1671926400,2022-12-25 00:00:00+00:00,16713.5,16828.5,16825.0,16853.5
1672012800,2022-12-26 00:00:00+00:00,16783.0,16825.0,16911.0,16937.5
1672099200,2022-12-27 00:00:00+00:00,16587.0,16911.0,16709.0,16961.0
1672185600,2022-12-28 00:00:00+00:00,16469.5,16709.0,16546.5,16778.0
1672272000,2022-12-29 00:00:00+00:00,16490.0,16546.5,16642.0,16665.0
1672358400,2022-12-30 00:00:00+00:00,16353.0,16642.0,16620.5,16725.0
1672444800,2022-12-31 00:00:00+00:00,16480.5,16620.5,16549.5,16650.5
1672531200,2023-01-01 00:00:00+00:00,16511.0,16549.5,16622.5,16631.0
1672617600,2023-01-02 00:00:00+00:00,16552.0,16622.5,16668.0,16799.0
1672704000,2023-01-03 00:00:00+00:00,16605.0,16668.0,16670.0,16774.0
1672790400,2023-01-04 00:00:00+00:00,16652.0,16670.0,16847.5,16988.0
1672876800,2023-01-05 00:00:00+00:00,16747.0,16847.5,16826.0,16873.5
1672963200,2023-01-06 00:00:00+00:00,16675.0,16826.0,16940.0,17031.5
1673049600,2023-01-07 00:00:00+00:00,16904.0,16940.0,16938.0,16974.0
1673136000,2023-01-08 00:00:00+00:00,16907.0,16938.0,17119.5,17190.0
1673222400,2023-01-09 00:00:00+00:00,17094.0,17119.5,17173.5,17385.0
1673308800,2023-01-10 00:00:00+00:00,17138.5,17173.5,17430.5,17480.5
1673395200,2023-01-11 00:00:00+00:00,17309.5,17430.5,17929.0,18031.0
1673481600,2023-01-12 00:00:00+00:00,17896.0,17929.0,18820.0,19133.5
1673568000,2023-01-13 00:00:00+00:00,18692.0,18820.0,19909.0,20013.5
1673654400,2023-01-14 00:00:00+00:00,19869.5,19909.0,20952.5,21550.0
1673740800,2023-01-15 00:00:00+00:00,20555.0,20952.5,20878.0,21066.0
1673827200,2023-01-16 00:00:00+00:00,20600.0,20878.0,21179.0,21488.0
1673913600,2023-01-17 00:00:00+00:00,20824.5,21179.0,21118.0,21626.5
1674000000,2023-01-18 00:00:00+00:00,20385.0,21118.0,20674.0,21673.0
1674086400,2023-01-19 00:00:00+00:00,20645.0,20674.0,21058.5,21173.5
1674172800,2023-01-20 00:00:00+00:00,20853.0,21058.5,22656.5,22780.0
1674259200,2023-01-21 00:00:00+00:00,22413.0,22656.5,22781.5,23381.0
1674345600,2023-01-22 00:00:00+00:00,22277.0,22781.5,22703.5,23083.0
1674432000,2023-01-23 00:00:00+00:00,22459.5,22703.5,22908.5,23187.0
1674518400,2023-01-24 00:00:00+00:00,22451.0,22908.5,22631.0,23165.5
1674604800,2023-01-25 00:00:00+00:00,22319.0,22631.0,23056.5,23875.0
1674691200,2023-01-26 00:00:00+00:00,22850.5,23056.5,23005.5,23289.5
1674777600,2023-01-27 00:00:00+00:00,22523.0,23005.5,23066.0,23515.5
1674864000,2023-01-28 00:00:00+00:00,22874.0,23066.0,23022.0,23193.0
1674950400,2023-01-29 00:00:00+00:00,22962.0,23022.0,23737.5,23966.0
1675036800,2023-01-30 00:00:00+00:00,22480.5,23737.5,22830.5,23799.5
1675123200,2023-01-31 00:00:00+00:00,22723.0,22830.5,23130.0,23375.0
1675209600,2023-02-01 00:00:00+00:00,22755.0,23130.0,23729.5,23866.0
1675296000,2023-02-02 00:00:00+00:00,23360.0,23729.5,23495.5,24280.0
1675382400,2023-02-03 00:00:00+00:00,23203.0,23495.5,23433.5,23723.0
1675468800,2023-02-04 00:00:00+00:00,23260.5,23433.5,23323.5,23587.5
1675555200,2023-02-05 00:00:00+00:00,22760.0,23323.5,22934.0,23434.5
1675641600,2023-02-06 00:00:00+00:00,22612.5,22934.0,22763.5,23165.0
1675728000,2023-02-07 00:00:00+00:00,22749.5,22763.5,23244.5,23363.0
1675814400,2023-02-08 00:00:00+00:00,22669.0,23244.5,22959.0,23462.5
1675900800,2023-02-09 00:00:00+00:00,21698.0,22959.0,21802.0,23011.0
1675987200,2023-02-10 00:00:00+00:00,21431.1,21802.0,21624.2,21939.5
1676073600,2023-02-11 00:00:00+00:00,21602.5,21624.2,21847.1,21890.0
1676160000,2023-02-12 00:00:00+00:00,21625.3,21847.1,21776.9,22079.0
1676246400,2023-02-13 00:00:00+00:00,21327.5,21776.9,21768.0,21887.0
1676332800,2023-02-14 00:00:00+00:00,21514.2,21768.0,22184.1,22310.7
1676419200,2023-02-15 00:00:00+00:00,22032.0,22184.1,24330.3,24428.9
1676505600,2023-02-16 00:00:00+00:00,23505.0,24330.3,23515.5,25296.1
1676592000,2023-02-17 00:00:00+00:00,23340.0,23515.5,24578.0,25043.9
1676678400,2023-02-18 00:00:00+00:00,24427.4,24578.0,24637.9,24886.6
